,2 MAANTHUI Number of houses 1 – 10,3 MGEMOMV Avg size household 1 – 6,4 MGEMLEEF Avg age see L1,10 MRELGE Married,11 MRELSA Living together,12 MRELOV Other relation,13 MFALLEEN Singles,14 MFGEKIND Household without children,15 MFWEKIND Household with children,16 MOPLHOOG High level education,17 MOPLMIDD Medium level education,18 MOPLLAAG Lower level education,30 MHHUUR Rented house,31 MHKOOP Home owners,32 MAUT1 1 car,33 MAUT2 2 cars,34 MAUT0 No car,35 MZFONDS National Health Service,36 MZPART Private health insurance,37 MINKM30 Income < 30.000,38 MINK3045 Income 30-45.000,39 MINK4575 Income 45-75.000,40 MINK7512 Income 75-122.000,41 MINK123M Income >123.000,42 MINKGEM Average income,43 MKOOPKLA Purchasing power class,76 ALEVEN Number of life insurances
38,1,3,2,6,0,3,0,0,9,0,3,6,7,2,3,6,0,6,3,7,0,2,0,0,3,5,0
39,2,3,3,6,3,0,0,3,6,0,1,8,3,6,6,3,0,9,0,3,5,2,1,0,3,3,0
40,1,3,3,6,1,2,0,0,9,0,0,9,9,0,6,1,3,7,2,4,5,0,0,0,3,2,0
41,1,3,3,9,0,0,2,3,4,0,5,4,1,8,7,2,0,7,2,2,4,3,0,1,4,6,0
42,1,3,3,6,1,2,2,3,5,2,4,3,4,5,6,2,1,4,5,2,2,4,1,1,5,7,0
43,1,2,4,8,0,1,1,7,2,2,2,6,6,3,6,0,3,7,2,4,2,3,1,0,4,3,0
44,1,3,3,7,1,2,1,3,5,0,4,5,0,9,6,2,2,5,4,0,5,3,1,0,4,6,0
45,1,3,3,7,1,2,3,2,5,1,3,6,5,4,5,2,2,7,2,4,4,1,1,1,3,4,0
46,1,2,4,6,0,3,4,3,3,1,3,5,5,4,6,0,3,6,3,3,3,2,1,0,3,3,0
47,1,4,2,8,0,1,1,1,8,1,4,5,8,1,5,4,1,8,1,5,4,0,0,0,2,4,0
48,1,3,3,8,0,1,1,5,4,1,4,4,5,4,5,2,3,6,3,2,4,3,1,0,4,5,0
49,2,3,3,7,0,2,2,1,6,0,2,7,4,5,5,2,3,8,1,3,4,2,0,0,3,3,0
50,1,2,4,7,0,2,0,6,3,0,2,7,9,0,7,2,0,9,0,6,3,0,0,0,3,3,0
51,1,2,3,3,2,5,5,3,3,2,3,4,7,2,6,1,3,8,1,5,3,2,0,0,3,1,0
52,1,2,3,6,2,2,2,4,3,1,2,6,9,0,7,2,2,8,1,3,3,3,1,0,4,2,0
53,1,2,4,6,0,3,4,2,4,3,3,3,1,8,3,0,6,7,2,4,3,2,2,0,4,6,0
54,2,3,3,7,0,2,1,3,6,1,2,7,1,8,8,0,1,8,1,0,2,7,0,0,4,3,2
55,2,5,2,7,1,2,0,0,9,0,4,5,2,7,6,2,2,6,3,0,4,5,0,0,4,5,0
56,1,1,2,4,3,2,6,3,1,4,5,1,8,1,8,0,1,9,0,3,5,2,0,0,3,6,0
57,1,3,2,7,2,0,1,2,6,2,4,4,0,9,9,0,0,5,4,2,4,4,0,0,4,7,0
58,1,2,3,7,2,1,1,7,2,0,3,6,7,2,8,1,1,7,2,5,3,2,0,0,3,5,0
59,1,3,3,6,1,3,1,4,5,1,3,5,2,7,4,0,5,7,2,2,2,2,4,1,6,2,0
60,1,2,4,4,1,4,5,4,1,2,4,3,9,0,5,0,4,5,4,5,3,2,0,0,3,2,0
61,1,3,3,6,1,3,2,4,4,1,3,6,4,5,5,2,3,7,2,3,4,2,1,1,3,3,0
62,1,3,3,9,0,0,0,5,4,3,4,3,2,7,5,4,0,5,4,0,2,3,2,3,8,6,0
63,2,1,1,2,2,5,5,4,0,0,7,2,9,0,7,0,2,9,0,4,4,2,0,0,3,3,0
64,1,1,3,0,2,7,7,2,1,0,7,2,8,1,2,0,7,7,2,6,3,0,2,0,3,6,0
65,1,4,2,9,0,0,0,2,7,2,3,4,0,9,7,2,0,6,3,0,6,3,0,0,4,3,0
66,1,3,3,7,1,2,1,4,4,1,2,6,5,4,5,2,3,6,3,2,5,2,1,0,3,3,0
67,1,3,3,6,0,3,2,4,4,4,3,2,0,9,9,0,0,4,5,0,5,4,0,0,4,6,0
68,1,3,4,6,0,3,3,4,3,0,7,2,2,7,6,3,0,3,6,0,7,2,0,0,4,3,0
69,1,2,5,6,0,3,3,4,2,0,1,8,9,0,4,3,3,9,0,1,8,0,0,0,3,3,0
70,2,3,2,9,0,0,0,4,5,2,5,2,7,2,7,2,0,6,3,4,5,0,0,0,3,4,0
71,1,2,5,5,1,3,4,5,1,1,5,4,6,3,7,1,1,5,4,4,4,2,1,0,3,1,0
72,1,3,4,8,1,1,2,5,3,2,3,5,4,5,7,0,2,5,4,2,3,4,1,0,4,1,0
73,2,3,3,7,1,2,2,3,5,3,4,3,1,8,8,0,1,6,3,0,5,4,0,0,4,7,2
74,1,3,2,6,2,1,2,3,5,3,6,0,2,7,7,2,0,5,4,1,0,5,3,0,6,6,1
75,1,3,4,7,0,2,2,4,4,0,4,5,2,7,6,0,3,8,1,2,4,4,0,0,4,6,0
76,1,2,3,5,1,3,2,4,3,0,3,6,8,1,6,1,3,6,3,4,4,1,0,0,3,4,0
77,1,2,3,7,1,1,1,8,1,5,4,0,9,0,8,1,1,4,5,0,5,4,0,0,5,6,0
78,1,2,3,8,1,0,0,7,2,4,3,3,0,9,9,0,0,4,5,3,3,4,0,0,4,6,0
79,1,3,3,6,2,1,1,4,5,2,5,3,1,8,7,2,0,8,1,1,3,6,1,0,5,6,0
80,1,2,3,5,0,4,3,3,4,1,3,5,2,7,7,0,2,7,2,0,5,4,0,0,4,6,0
81,1,2,4,7,1,2,0,9,0,0,0,9,5,5,6,2,1,5,4,5,5,0,0,0,3,6,0
82,1,3,3,8,0,1,1,4,5,5,4,2,0,9,7,2,1,1,8,1,0,3,5,0,8,8,0
83,1,3,3,6,0,3,2,3,5,1,2,6,2,7,7,0,2,7,2,0,4,5,0,0,4,4,0
84,1,2,1,4,2,4,2,5,3,1,4,5,9,0,4,0,5,8,1,4,2,4,0,0,3,3,0
85,1,3,3,5,1,3,3,2,4,2,3,5,5,4,4,2,4,7,2,3,5,1,1,0,3,4,0
86,1,3,3,8,1,0,0,5,4,4,1,5,0,9,6,3,0,3,6,3,3,3,2,0,5,8,0
87,1,4,2,9,0,0,0,3,6,2,4,4,0,9,9,0,0,7,2,0,5,4,0,0,4,5,0
88,1,1,2,1,2,6,5,3,2,2,5,2,9,0,5,1,3,5,4,4,3,3,0,0,3,3,0
89,1,2,2,7,1,2,3,4,3,1,1,8,3,6,7,1,1,8,1,0,7,2,0,0,4,4,0
90,1,3,3,7,1,1,0,4,5,0,6,3,0,9,6,2,2,8,1,0,6,0,3,0,5,4,0
91,1,5,3,9,0,0,0,0,8,5,4,0,0,9,9,0,0,4,5,0,0,9,0,0,5,7,0
92,2,3,3,6,0,3,1,4,4,3,2,5,3,6,7,0,2,7,2,0,4,5,0,0,4,6,0
93,1,1,5,3,0,6,6,2,1,1,1,7,8,1,3,0,6,9,0,2,5,2,1,0,4,1,0
94,1,2,3,9,0,0,2,5,2,2,5,2,6,3,7,0,2,7,2,1,3,3,2,0,6,5,0
95,1,3,3,9,0,0,0,4,5,0,4,5,3,6,6,2,1,5,4,0,0,7,2,0,6,6,0
96,1,2,3,9,0,0,2,4,3,0,0,9,6,3,9,0,0,9,0,3,4,3,1,0,3,5,2
97,1,2,3,7,1,1,5,1,4,5,4,0,9,0,8,1,1,4,5,0,5,4,0,0,5,4,0
98,1,2,4,7,0,2,2,4,3,1,5,4,2,7,5,3,2,5,4,2,5,3,0,0,4,3,0
99,1,2,2,1,3,5,4,3,2,1,4,5,8,1,7,0,2,6,3,5,3,1,1,0,3,2,0
100,1,3,2,9,0,0,0,2,7,1,1,8,3,6,6,1,2,7,2,3,5,2,1,0,3,3,0
101,1,3,4,9,0,0,0,4,5,3,6,0,0,9,6,3,0,3,6,0,6,3,0,0,4,8,0
102,1,4,2,9,0,0,0,2,7,2,3,4,0,9,7,2,0,6,3,0,6,3,0,0,4,3,0
103,2,2,5,5,0,4,4,2,3,2,3,4,0,9,4,2,4,5,4,3,5,1,1,0,3,6,0
104,1,3,3,7,1,2,0,3,6,4,2,4,2,7,7,2,0,5,4,2,2,3,3,0,5,4,0
105,2,2,2,4,1,5,3,0,6,0,0,9,9,0,5,1,3,8,1,5,4,0,0,0,2,2,0
106,1,4,2,7,1,2,2,4,4,5,4,0,4,5,6,2,1,5,4,0,0,9,0,0,6,6,0
107,1,2,2,6,0,3,4,2,4,3,5,2,6,3,7,1,1,2,7,2,3,3,3,0,5,4,0
108,1,2,2,3,2,4,4,4,2,0,5,4,7,2,7,0,2,9,0,4,5,0,0,0,3,4,0
109,1,4,3,7,1,2,0,0,9,0,0,9,9,0,6,2,2,7,2,0,4,5,0,0,4,3,0
110,1,4,3,6,1,3,0,2,7,4,4,2,1,8,8,0,1,6,3,1,3,4,3,1,5,7,0
111,1,2,1,0,6,3,3,5,2,0,5,4,9,0,5,3,3,9,0,5,2,3,0,0,3,3,0
112,1,2,3,7,2,0,0,5,4,0,3,6,0,9,4,4,2,6,3,2,5,3,0,0,3,3,0
113,2,4,3,7,0,2,1,3,5,4,5,0,8,1,6,3,0,0,9,0,4,4,1,1,6,6,0
114,1,3,3,8,0,1,1,4,4,0,4,5,0,9,7,1,2,6,3,0,5,4,0,0,4,3,0
115,3,2,4,4,2,4,5,4,2,3,2,5,8,1,1,2,6,8,1,7,2,1,0,0,2,3,0
116,1,2,3,6,1,2,2,3,4,3,1,6,2,7,7,0,2,8,1,2,5,2,0,0,3,6,0
117,1,3,3,6,0,3,3,3,4,0,4,5,8,1,5,0,4,9,0,0,0,9,0,0,4,3,0
118,1,2,4,5,2,3,0,6,3,6,3,0,0,9,6,1,2,7,2,0,0,9,0,0,4,7,0
119,1,3,3,5,0,4,2,3,4,0,3,6,4,5,3,2,4,7,2,6,2,2,0,0,2,3,0
120,1,3,3,7,2,1,1,6,3,0,2,7,6,3,7,1,2,7,2,5,3,1,1,0,3,5,0
121,1,4,3,7,1,2,0,0,9,0,0,9,9,0,6,2,2,7,2,0,4,5,0,0,4,5,0
122,2,3,2,7,2,0,0,4,5,0,2,7,2,7,5,4,0,9,0,0,5,4,0,0,4,6,0
123,1,3,3,7,1,2,1,3,5,0,3,6,8,1,6,1,2,9,0,1,5,3,0,0,3,4,0
124,1,3,3,9,0,0,0,3,6,5,2,2,0,9,6,0,3,9,0,0,4,5,0,0,4,8,0
125,1,2,4,3,0,6,6,2,2,1,1,7,9,0,5,0,4,9,0,6,3,0,0,0,2,2,0
126,1,2,5,5,1,3,3,5,1,1,5,3,5,4,7,1,1,5,4,3,3,3,1,0,3,3,0
127,1,2,4,6,0,3,3,4,3,7,2,0,0,9,5,4,0,3,6,0,3,6,0,0,4,6,0
128,1,2,3,3,2,5,5,3,3,2,3,4,7,2,6,1,3,8,1,5,3,2,0,0,3,1,0
129,1,2,2,3,2,5,5,3,2,2,6,2,8,1,5,0,4,8,1,6,2,1,0,1,3,3,0
130,1,3,3,7,2,0,0,2,7,4,4,2,0,9,9,0,0,4,5,1,2,7,0,0,5,7,0
131,1,2,3,5,2,3,2,6,1,1,3,5,4,5,7,1,2,6,3,3,4,3,1,0,3,4,0
132,1,3,3,5,1,4,3,2,4,1,2,7,8,1,4,1,5,8,1,5,4,1,1,0,3,4,0
133,2,3,3,9,0,0,0,4,5,2,4,4,2,7,7,2,0,6,3,5,2,0,2,0,4,7,0
134,1,3,2,5,4,0,0,4,5,3,6,0,0,9,6,3,0,6,3,0,3,6,0,0,5,6,0
135,1,2,3,3,2,5,4,2,3,1,4,5,3,6,5,1,3,7,2,3,2,3,2,1,5,3,0
136,1,3,3,7,1,1,1,4,4,1,2,7,2,7,4,4,2,7,2,3,3,3,0,1,4,3,0
137,1,3,3,4,0,5,3,2,5,1,3,6,2,7,5,1,3,7,2,3,3,3,0,0,3,3,0
138,1,3,3,8,1,0,0,5,4,4,1,5,0,9,6,3,0,3,6,3,3,3,2,0,5,8,0
139,1,3,2,5,4,0,0,6,3,6,2,2,0,9,7,2,0,2,7,0,3,3,4,1,6,6,0
140,1,1,5,3,0,6,6,3,1,1,6,3,8,1,5,1,4,5,4,3,3,3,1,1,3,1,0
141,1,3,3,7,2,1,1,3,5,4,4,2,1,8,6,3,1,5,4,2,4,4,1,0,4,6,0
142,1,4,3,7,0,2,0,3,6,1,6,3,0,9,6,1,2,5,4,0,1,6,3,0,6,6,0
143,1,4,2,7,1,2,2,0,7,1,8,0,2,7,7,1,2,6,3,4,2,4,0,0,3,4,0
144,1,3,3,7,0,2,1,1,8,0,1,8,9,0,5,2,3,7,2,1,6,3,0,0,4,3,0
145,1,4,2,8,0,1,0,1,8,0,1,8,9,0,7,2,0,9,0,3,6,1,0,0,3,3,0
146,1,3,3,6,0,3,2,0,7,0,3,6,9,0,7,0,2,9,0,2,5,3,0,0,3,1,0
147,1,3,2,9,0,0,0,3,6,5,3,2,0,9,5,4,0,2,7,0,2,4,1,3,8,7,0
148,1,5,3,9,0,0,0,1,8,0,6,3,0,9,6,3,0,9,0,1,6,3,0,0,3,3,0
149,2,3,3,7,1,2,2,3,5,3,4,3,1,8,8,0,1,6,3,0,5,4,0,0,4,7,0
150,1,4,3,7,1,2,0,3,6,3,5,1,1,8,7,0,2,5,4,1,3,5,1,1,5,7,0
151,1,2,4,7,0,2,2,6,2,3,5,1,6,3,7,2,0,3,6,2,4,4,1,0,5,6,0
152,1,3,3,6,1,2,1,2,7,0,3,6,9,0,7,0,2,7,2,6,3,1,0,0,2,4,0
153,1,3,2,5,2,3,0,2,7,1,7,2,4,5,7,2,0,6,3,4,5,1,0,0,3,7,0
154,1,4,2,8,1,1,1,2,7,3,5,2,1,8,9,0,0,5,4,2,4,4,0,0,4,8,0
155,1,2,3,6,1,3,1,6,2,2,2,5,3,6,4,0,5,7,2,2,3,1,3,2,6,4,0
156,1,4,3,8,1,1,1,1,8,1,5,3,1,8,9,0,0,5,4,3,2,4,0,0,4,8,0
157,1,3,3,7,0,2,1,4,5,1,2,6,2,7,7,1,2,7,2,1,4,4,1,0,4,5,0
158,1,2,4,5,0,4,4,4,2,0,2,7,9,0,7,0,2,9,0,8,1,1,0,0,2,1,0
159,1,3,3,8,0,1,1,5,4,1,4,4,5,4,5,2,3,6,3,2,4,3,1,0,4,5,0
160,1,2,3,5,1,3,2,4,3,0,3,6,8,1,6,1,3,6,3,4,4,1,0,0,3,2,0
161,1,3,3,8,1,1,1,5,4,2,1,7,9,0,6,2,2,7,2,2,3,2,4,0,6,4,0
162,1,3,3,6,1,3,3,1,6,0,1,8,6,3,6,0,3,9,0,3,6,0,0,0,2,1,0
163,1,4,3,6,0,3,0,3,6,0,6,3,0,9,6,1,2,6,3,0,1,8,0,0,5,3,0
164,1,3,3,7,2,0,0,3,6,0,4,5,4,5,7,2,0,5,4,2,2,3,3,0,5,4,0
165,1,2,4,3,1,6,3,2,4,0,1,8,8,1,4,2,4,7,2,7,2,0,0,0,2,5,0
166,1,3,3,7,1,2,2,4,3,1,2,6,2,7,6,2,1,5,4,2,5,2,2,0,4,3,0
167,1,2,4,5,1,3,3,5,2,2,4,3,2,7,4,0,5,7,2,4,2,3,1,2,5,5,0
168,1,4,3,6,2,2,0,4,5,0,4,5,5,4,6,2,2,8,1,0,0,4,5,0,7,5,0
169,1,4,2,7,1,2,1,2,7,1,3,6,8,1,7,1,1,9,0,2,3,4,0,0,4,4,0
170,1,2,3,4,3,3,2,3,4,1,4,5,8,1,6,1,2,8,1,3,4,2,0,0,3,4,0
171,2,2,5,5,0,4,4,2,3,2,3,4,0,9,4,2,4,5,4,3,5,1,1,0,3,6,0
172,1,2,4,7,1,1,0,6,3,2,0,7,1,8,8,0,1,5,4,2,4,3,2,0,4,4,0
173,2,3,3,7,0,2,1,3,6,1,2,7,1,8,8,0,1,8,1,0,2,7,0,0,4,3,0
174,1,3,2,8,1,0,0,4,5,0,4,5,4,5,8,1,0,9,0,2,5,2,2,0,4,6,0
175,1,3,4,7,0,2,0,3,6,1,1,7,1,8,5,2,2,7,2,0,7,2,0,0,3,3,0
176,1,3,3,7,1,2,2,2,5,4,3,3,9,0,5,1,4,4,5,1,3,5,1,1,5,4,0
177,1,3,3,9,0,0,0,4,5,3,6,1,0,9,7,2,0,2,7,0,1,6,3,1,6,7,0
178,1,4,2,6,1,2,0,1,8,1,1,8,8,1,6,1,2,8,1,4,4,2,0,1,3,3,0
179,1,3,3,8,1,1,1,3,5,1,4,5,2,7,5,4,0,6,3,3,4,4,0,0,4,4,0
180,1,3,2,9,0,0,0,3,6,3,4,2,0,9,6,2,2,5,4,0,3,4,3,0,5,8,0
181,2,3,2,5,2,4,3,2,5,0,5,4,5,4,7,2,0,5,4,2,5,2,2,0,4,4,0
182,1,4,2,9,0,0,0,3,6,0,4,5,3,6,7,1,1,5,4,2,7,0,0,0,3,8,0
183,1,2,3,9,0,0,0,5,4,0,9,0,5,4,7,2,0,7,2,0,9,0,0,0,3,6,0
184,1,3,3,7,1,1,1,4,4,1,2,7,2,7,4,4,2,7,2,3,3,3,0,1,4,3,0
185,1,1,3,1,0,8,7,1,1,1,4,5,8,1,1,1,8,6,3,5,3,1,1,0,2,1,0
186,1,4,2,6,0,3,2,0,7,0,6,3,4,5,9,0,0,7,2,0,7,0,2,0,4,4,0
187,1,3,3,7,1,2,1,4,4,2,3,4,3,6,7,2,1,5,4,3,2,3,2,0,4,3,0
188,1,3,3,7,1,2,2,4,4,2,4,4,4,5,6,2,1,5,4,3,3,3,2,1,4,4,0
189,1,3,2,7,1,2,2,3,5,3,5,2,6,3,7,1,2,6,3,1,3,5,1,0,4,6,0
190,1,2,3,9,0,0,3,4,3,3,4,3,2,7,7,0,2,7,2,1,3,4,3,0,7,3,0
191,1,3,3,9,0,0,0,1,8,0,4,5,9,0,5,3,2,7,2,0,3,3,4,0,7,3,0
192,1,2,4,9,0,0,0,6,3,0,0,9,9,0,7,2,0,9,0,5,4,0,0,0,3,1,0
193,1,2,3,5,1,4,3,3,4,2,2,6,4,5,6,1,2,7,2,3,5,2,0,0,3,6,0
194,1,3,3,7,0,2,0,4,5,0,0,9,9,0,7,0,2,9,0,3,4,2,2,0,4,3,0
195,1,3,3,5,1,3,0,5,4,0,5,4,0,9,6,1,3,7,2,3,4,3,1,0,4,5,0
196,1,3,3,7,0,2,2,4,3,0,7,2,9,0,9,0,0,9,0,4,5,0,0,0,3,4,0
197,1,3,2,7,1,2,0,3,6,0,3,6,5,4,9,0,0,5,4,0,9,0,0,0,3,5,0
198,1,2,3,6,1,2,2,3,4,3,1,6,2,7,7,0,2,8,1,2,5,2,0,0,3,5,0
199,1,2,4,9,0,0,0,6,3,0,5,4,3,6,7,0,2,6,3,2,4,4,0,0,4,3,0
200,1,2,2,6,2,1,1,4,4,2,2,5,8,1,7,1,2,7,2,2,6,2,0,0,3,2,0
201,1,2,4,5,0,4,4,2,3,0,3,6,0,9,3,2,4,7,2,5,0,4,0,0,2,5,0
202,1,3,3,9,0,0,0,5,4,3,5,2,0,9,7,2,0,2,7,0,2,5,3,1,6,8,0
203,1,3,2,4,1,4,1,1,8,4,4,2,6,3,6,0,3,6,3,3,2,4,1,0,4,5,0
204,1,4,2,9,0,0,0,0,8,2,4,4,4,5,9,0,0,7,2,0,4,5,0,0,5,7,0
205,1,3,3,7,1,1,0,5,4,0,8,1,0,9,6,2,2,8,1,0,8,0,1,0,3,4,0
206,1,3,3,6,1,3,2,4,3,0,6,3,0,9,6,2,2,6,3,2,4,3,0,1,5,2,0
207,1,2,3,5,1,4,3,4,2,0,4,5,2,7,5,1,4,7,2,5,3,2,0,0,3,6,0
208,1,2,4,6,0,3,3,1,6,0,1,8,3,6,5,2,3,8,1,8,1,1,0,0,2,3,0
209,1,3,3,5,2,3,2,4,4,2,5,3,9,0,4,3,3,7,2,2,2,5,1,0,4,4,0
210,1,2,2,1,2,6,3,5,1,2,6,2,9,0,5,1,3,5,4,3,2,5,0,0,4,2,0
211,1,3,3,7,0,2,0,4,5,0,0,9,5,4,5,3,3,9,0,4,5,0,0,0,2,3,0
212,1,3,3,7,2,0,0,5,4,2,4,3,2,7,7,2,0,6,3,2,4,3,1,0,4,4,0
213,1,2,3,5,1,3,0,2,7,0,2,7,9,0,6,1,3,7,2,3,3,4,0,0,4,3,0
214,1,2,3,7,0,2,0,6,4,1,4,5,2,7,7,2,0,2,7,0,6,3,0,0,4,3,0
215,1,3,4,6,0,3,2,2,5,0,5,5,0,9,3,3,3,2,7,2,5,3,0,0,3,3,0
216,1,2,4,5,0,4,4,3,3,0,3,6,0,9,3,3,4,9,0,4,0,3,3,0,4,3,0
217,1,4,3,8,1,1,1,1,8,1,5,3,1,8,9,0,0,5,4,3,2,4,0,0,4,8,0
218,1,3,3,8,0,1,1,4,5,0,5,4,0,9,6,2,2,5,4,0,3,6,0,0,4,6,0
219,1,3,3,7,1,2,1,4,4,2,3,4,3,6,7,2,1,5,4,3,2,3,2,0,4,5,0
220,1,2,3,8,0,1,1,6,3,0,3,6,7,2,7,0,2,7,2,1,8,0,0,0,4,1,0
221,1,1,2,1,4,5,5,4,1,1,6,2,9,0,3,2,4,6,3,3,4,3,0,0,3,2,0
222,1,3,3,6,0,3,2,3,5,1,2,6,2,7,7,0,2,7,2,0,4,5,0,0,4,3,0
223,1,2,3,4,1,5,3,3,4,0,5,4,4,5,4,2,4,7,2,6,3,1,0,0,2,3,0
224,1,2,4,6,1,2,3,4,3,1,4,5,4,6,5,1,4,8,1,4,3,2,1,0,3,2,0
225,1,2,3,6,1,3,1,6,2,2,2,5,3,6,4,0,5,7,2,2,3,1,3,2,6,4,0
226,1,3,3,7,0,2,2,3,5,5,2,3,0,9,9,0,0,3,6,2,0,4,4,0,7,8,0
227,1,2,3,4,2,4,4,2,3,1,3,6,7,2,6,0,3,8,1,5,4,1,0,0,2,6,0
228,1,2,4,6,1,3,2,4,3,1,3,6,4,5,4,0,5,7,2,5,2,2,1,1,3,4,0
229,1,2,5,5,1,3,3,5,1,1,5,3,5,4,7,1,1,5,4,3,3,3,1,0,3,3,0
230,2,2,4,6,1,3,3,4,3,3,3,4,3,6,6,1,3,7,2,3,2,4,1,0,3,6,0
231,1,3,3,9,0,0,0,4,5,2,4,4,4,5,5,4,0,4,5,0,4,5,0,0,5,7,2
232,1,3,3,8,0,1,1,1,7,1,5,4,5,4,6,2,1,2,7,2,3,3,2,1,5,3,0
233,1,3,3,5,0,4,0,0,9,0,0,9,9,0,3,2,4,7,2,9,0,0,0,0,1,1,0
234,1,3,2,5,2,2,2,2,5,0,2,7,2,7,9,0,0,7,2,0,9,0,0,0,3,4,0
